desc_item,next_item,desc_color,next_color,ordered,next_ordered,name,next_customer,citystatezip,next_citystatezip,phone,next_phone
Transformers Rubik's Cube,Transformers Rubik's Cube,blue,amber,2017-12-01 13:15:37,2017-12-01 13:20:10,Brittany Dougherty,Jackson Oconnell Jr.,"Brooklyn, NY 11221","New York City, NY 10028",914-882-8416,914-376-9808
Electric Machine,Electric Machine,yellow,magenta,2017-12-25 12:08:55,2017-12-25 12:30:29,Mindy Joanne Tucker,Brad Drake,"New York City, NY 10029","Brooklyn, NY 11230",646-211-0290,585-568-7675
Transformers Blocks,Transformers Blocks,magenta,orange,2017-12-28 19:08:10,2017-12-28 19:40:38,Patty Bethany Moore,Jocelyn Rivera,"Lorain, OH 44053","New York City, NY 10011",419-249-0785,516-481-4941
Star Wars Crayons,Star Wars Crayons,azure,puce,2018-01-07 19:00:55,2018-01-07 19:02:24,Craig Humphrey,Steven Heath III,"Brooklyn, NY 11207","New York City, NY 10030",716-733-3922,315-414-7262
Vintage Blender,Vintage Blender,red,mauve,2018-01-09 12:14:34,2018-01-09 12:42:07,Melissa Bender,Holly Bonnie Mora,"New York City, NY 10002","Cambria Heights, NY 11411",516-887-6771,838-971-9508
Transformers Rubik's Cube,Transformers Rubik's Cube,amber,blue,2018-03-01 12:22:38,2018-03-01 12:57:55,Rodney Jensen IV,Cody Bauer,"Flushing, NY 11355","New York City, NY 10028",917-330-4489,838-549-3967
Transformers Fidget Toy,Transformers Fidget Toy,mauve,amber,2018-03-08 16:31:21,2018-03-08 16:35:04,Manuel Maynard,Bobby Manning,"New York City, NY 10025","Flushing, NY 11354",516-893-4348,716-292-8181
Transformers Fidget Toy,Transformers Fidget Toy,amber,mauve,2018-03-17 11:26:41,2018-03-17 11:49:52,Roy Blackburn,Gabriela Robin Webster,"New York City, NY 10017","Brooklyn, NY 11214",516-790-5299,585-560-7050
Transformers Fidget Toy,Transformers Fidget Toy,mauve,amber,2018-03-25 08:27:05,2018-03-25 08:50:30,Evelyn Flynn,Jeanne Felicia Ingram,"New York City, NY 10029","Brooklyn, NY 11235",914-235-8816,631-476-5141
Vintage Blender,Vintage Blender,mauve,red,2018-04-24 11:39:47,2018-04-24 11:42:20,Shane Hogan,Valerie Bolton,"Bronx, NY 10466","New York City, NY 10014",838-938-0671,845-715-3292
Transformers Rubik's Cube,Transformers Rubik's Cube,blue,amber,2018-04-26 17:49:30,2018-04-26 17:50:04,Fred Frost,Sabrina Villarreal,"New York City, NY 10002","Brooklyn, NY 11213",838-413-7191,680-833-3946
Star Wars Toy Soldier,Star Wars Toy Soldier,yellow,blue,2018-04-27 14:05:01,2018-04-27 14:14:05,Jonathon Wood III,Olivia Helen Mccall,"Astoria, NY 11106","New York City, NY 10040",838-870-9819,347-466-9643
Mini Machine,Mini Machine,puce,amber,2018-05-29 10:10:34,2018-05-29 10:39:17,Luis Reid II,Cameron Carroll,"New York City, NY 10011","South Ozone Park, NY 11420",838-387-7753,838-514-1979
Star Wars Toy Soldier,Star Wars Toy Soldier,blue,yellow,2018-07-14 12:25:41,2018-07-14 12:43:43,Ralph Delacruz,Rodney Bond IV,"Montclair, VA 22025","New York City, NY 10009",276-778-3638,516-423-7149
Manual Crockpot,Manual Crockpot,blue,azure,2018-07-16 15:17:01,2018-07-16 15:19:55,Cheyenne Newman,Meghan Briggs,"New York City, NY 10024","Brooklyn, NY 11219",646-419-6095,585-650-4187
Electric Machine,Electric Machine,magenta,yellow,2018-07-19 13:10:58,2018-07-19 13:17:03,Emma Olivia Diaz,Dale Mendoza,"Bronx, NY 10471","New York City, NY 10003",838-342-7210,631-973-8145
Transformers Fidget Toy,Transformers Fidget Toy,amber,mauve,2018-09-07 11:34:38,2018-09-07 11:53:57,Caitlyn Nina Harrison,Mercedes Hogan,"New York City, NY 10002","Brooklyn, NY 11221",838-279-8302,212-661-7540
Electric Timer,Electric Timer,magenta,red,2018-09-13 11:24:30,2018-09-13 11:47:18,Bianca Ana Lewis,Wayne Quinn Jr.,"New York, NY 10017","Bronx, NY 10452",838-262-3439,315-734-2110
Electric Timer,Electric Timer,magenta,red,2018-09-18 12:28:00,2018-09-18 12:53:43,Dylan Palmer V,Jorge Brewer,"Brooklyn, NY 11222","New York City, NY 10027",838-952-8547,315-254-3227
Transformers Rubik's Cube,Transformers Rubik's Cube,blue,amber,2018-11-03 12:00:00,2018-11-03 12:51:37,Lorraine Hayley Willis,Ryan Wolfe II,"New York City, NY 10010","Jamaica, NY 11434",838-721-1400,680-200-1701
Star Wars Toy Soldier,Star Wars Toy Soldier,blue,yellow,2018-11-10 10:08:41,2018-11-10 10:16:48,Ernest Mahoney,Martin Williamson II,"Brooklyn, NY 11214","New York City, NY 10034",516-782-6906,838-696-8650
Mini Machine,Mini Machine,amber,puce,2018-11-21 11:05:37,2018-11-21 11:10:50,Shaun Owens,Bobby Brock,"New York City, NY 10128","Staten Island, NY 10309",315-396-7195,516-253-6586
Transformers Rubik's Cube,Transformers Rubik's Cube,amber,blue,2018-12-21 17:02:05,2018-12-21 17:33:43,Madeline Isabella Foster,Kristin Sheila Little,"New York City, NY 10011","New York City, NY 10034",914-600-5985,680-519-5528
Transformers Rubik's Cube,Transformers Rubik's Cube,amber,blue,2018-12-23 18:54:17,2018-12-23 18:55:21,Dominique Gabriella Carter,Gloria Hobbs,"New York City, NY 10023","Menands, NY 12204",516-411-6613,516-418-8842
Super Machine,Super Machine,white,orange,2019-02-02 12:14:48,2019-02-02 12:38:40,Jay Walton,Loretta Sonya Ford,"Brooklyn, NY 11213","New York City, NY 10032",315-887-0872,585-684-9911
Super Machine,Super Machine,white,orange,2019-02-27 13:24:35,2019-02-27 13:25:26,Miguel Johnson,Damon Shea II,"Bronx, NY 10468","New York City, NY 10027",315-648-3628,680-351-1436
Manual Crockpot,Manual Crockpot,azure,blue,2019-04-05 20:10:46,2019-04-05 20:30:41,Connie Hill,Ian Benitez V,"New York City, NY 10019","Bronx, NY 10456",917-626-2014,838-786-1787
Electric Machine,Electric Machine,yellow,magenta,2019-04-29 12:21:32,2019-04-29 12:25:45,Alisha Ariel Ponce,Tina Candice Brennan,"Bronx, NY 10466","New York City, NY 10128",516-569-5862,516-892-2676
Transformers Fidget Toy,Transformers Fidget Toy,amber,mauve,2019-05-05 13:18:29,2019-05-05 13:31:36,Cheryl Valdez,Molly Kimberly Salazar,"New York City, NY 10023","New York City, NY 10031",631-601-3780,347-731-7081
Transformers Rubik's Cube,Transformers Rubik's Cube,amber,blue,2019-05-19 20:07:35,2019-05-19 20:07:38,Alejandro Hood II,Meagan Tracie Ford,"New York City, NY 10037","Bayside, NY 11360",716-688-8949,838-466-7753
Transformers Fidget Toy,Transformers Fidget Toy,amber,mauve,2019-06-04 12:31:54,2019-06-04 12:43:07,Dana Marilyn Floyd,Tracy Daisy Fry,"Staten Island, NY 10302","New York City, NY 10032",914-341-4597,838-396-4487
Electric Timer,Electric Timer,red,magenta,2019-06-07 20:03:42,2019-06-07 20:53:40,Julian Morton IV,Jimmy Gallegos,"New York City, NY 10024","Bronx, NY 10453",315-227-6305,838-611-9367
Electric Machine,Electric Machine,yellow,magenta,2019-07-12 12:14:25,2019-07-12 12:32:16,Wyatt Ho,Jerry Stewart II,"New York City, NY 10039","Brooklyn, NY 11230",315-365-0720,838-298-0051
Electric Timer,Electric Timer,magenta,red,2019-08-29 11:51:51,2019-08-29 11:56:39,Evan Davidson,Lance Decker IV,"Brooklyn, NY 11206","New York City, NY 10028",914-308-0325,315-524-6817
Star Wars Toy Soldier,Star Wars Toy Soldier,yellow,blue,2019-10-01 14:37:59,2019-10-01 14:49:22,Luis Good,Douglas Conway IV,"New York City, NY 10025","Odessa, TX 79762",838-690-7033,726-285-6198
Transformers Rubik's Cube,Transformers Rubik's Cube,blue,amber,2019-10-05 11:25:06,2019-10-05 11:53:22,Larry Schneider,Johnathan Krueger,"New York City, NY 10023","Ozone Park, NY 11417",838-396-6628,516-437-6924
Manual Crockpot,Manual Crockpot,azure,blue,2019-10-13 14:33:11,2019-10-13 14:33:47,Betty Reynolds,Colton Knight,"Greensboro, FL 32330","New York City, NY 10038",772-892-1309,838-336-8557
Manual Crockpot,Manual Crockpot,blue,azure,2019-10-24 21:24:39,2019-10-24 21:53:26,Henry Coleman Jr.,Anthony Trevino II,"New York City, NY 10002","Jamaica, NY 11435",718-463-2105,315-220-7241
Mini Machine,Mini Machine,puce,amber,2019-10-27 10:12:29,2019-10-27 10:47:57,Gail Baird,Eddie Castro II,"Brooklyn, NY 11206","New York City, NY 10032",518-639-3795,315-420-6274
Transformers Fidget Toy,Transformers Fidget Toy,amber,mauve,2019-11-24 19:22:47,2019-11-24 19:57:46,Lacey Kerri French,Perry Cooke,"Kalamazoo, MI 49001","New York City, NY 10029",517-231-5621,516-344-3254
Transformers Blocks,Transformers Blocks,magenta,orange,2019-12-10 19:37:17,2019-12-10 19:53:09,Dylan Ferguson,Dorothy Morrison,"Brooklyn, NY 11206","New York City, NY 10032",838-483-4467,516-599-8812
Transformers Fidget Toy,Transformers Fidget Toy,mauve,amber,2019-12-13 12:01:40,2019-12-13 12:40:00,Melody Rachel Weaver,Randy Tran,"New York City, NY 10019","Ridgewood, NY 11385",914-413-4687,585-525-9066
Super Machine,Super Machine,white,orange,2020-01-11 12:21:37,2020-01-11 12:32:29,Jacob Perez,Alec Cherry,"Bronx, NY 10465","New York City, NY 10025",607-727-4578,332-892-6827
Vintage Blender,Vintage Blender,mauve,red,2020-01-18 12:05:22,2020-01-18 12:31:53,Anna Destiny Fischer,Annette Candace Malone,"Jamaica, NY 11433","New York City, NY 10002",347-899-0198,315-939-9927
Electric Timer,Electric Timer,red,magenta,2020-01-19 12:21:28,2020-01-19 12:32:38,Lindsey Loretta Dyer,Alison Morton,"New York, NY 11428","New York City, NY 10023",838-602-2582,347-948-5494
Transformers Blocks,Transformers Blocks,orange,magenta,2020-02-04 10:10:59,2020-02-04 10:56:04,Nicholas Frazier III,Ebony Simmons,"Palm Bay, FL 32907","New York City, NY 10032",689-419-5015,838-678-1307
Vintage Blender,Vintage Blender,mauve,red,2020-02-15 13:46:59,2020-02-15 13:59:13,Jon Stokes II,Mariah Dougherty,"New York City, NY 10023","Boston, MA 02121",838-876-4759,617-885-3136
Electric Timer,Electric Timer,magenta,red,2020-02-29 14:24:23,2020-02-29 14:33:18,Alexis Tracey Crosby,Eugene Mclaughlin,"New York City, NY 10026","Jamaica, NY 11433",680-854-8037,914-336-6009
Transformers Blocks,Transformers Blocks,orange,magenta,2020-03-03 13:14:12,2020-03-03 13:45:21,Wayne Parks,Rickey Whitehead,"Maspeth, NY 11378","New York City, NY 10025",516-954-7105,917-474-8411
Electric Timer,Electric Timer,red,magenta,2020-04-02 17:11:41,2020-04-02 17:12:16,Wesley Hicks IV,Sara Colleen Savage,"New York City, NY 10036","New York City, NY 10035",516-590-8152,845-750-4631
Mini Blender,Mini Blender,white,purple,2020-04-25 12:19:51,2020-04-25 12:41:27,Darrell Henson,Alexandra Theresa Robles,"Brooklyn, NY 11216","New York City, NY 10025",631-272-1013,838-352-0668
Star Wars Toy Soldier,Star Wars Toy Soldier,yellow,blue,2020-04-26 21:22:33,2020-04-26 21:47:50,Kara Jasmine Pittman,Kyle Bond,"Bronx, NY 10457","New York City, NY 10013",315-602-6920,680-841-9095
Electric Machine,Electric Machine,magenta,yellow,2020-05-20 15:27:23,2020-05-20 15:59:40,Diamond Blevins,Joanne Hannah Mcknight,"Brooklyn, NY 11236","New York City, NY 10009",680-231-0032,838-654-0232
